"id","rdio_key","name","echo_nest_id"
358,"r213539","Devin Townsend","ARUMLBQ1187FB3EB70"
359,"r26038","Bunny Wailer","ARTIHCD1187FB4FC8D"
361,"r177502","God Dethroned","AR85J8W1187B9AF104"
362,"r296398","Eli Young Band","ARNRA801187FB5587A"
363,"r865014","Tommy Rogers","ARVSEXG1269FCCFF9D"
365,"r545174","Fat Jon","ARYRTTG1187B98D91F"
366,"r15770","Van Morrison","ARNAQSX1187B9ADBE4"
368,"r310416","Charlie Robison","AR5278F1187B9A25C8"
369,"r138625","Foo Fighters","AR6XPWV1187B9ADAEB"
371,"r87737","Every Avenue","AR2M5X21187FB5AFCA"
372,"r174119","Swing Out Sister","ARTN3WC1187FB521BA"
374,"r209174","Necro","ARN653G1187B997B1F"
375,"r85695","Tori Amos","AR4KS8C1187FB4CF3D"
377,"r92729","The Decemberists","ARHWR8B1187FB557D3"
378,"r350973","Selah Sue","ARLUYHU12086C112ED"
379,"r579774","Angus & Julia Stone","ARTUHE91187FB421DA"
381,"r577257","Warhead","ARITJAO1187B9A14DE"
382,"r2319","Ray Charles","AR20CFC1187B98A25D"
383,"r86450","Disturbed","ARLNLD51187B98DEC5"
385,"r87841","Zero 7","ARWMPYS1187B9B4510"
386,"r331740","The KLF","ARAKRUA1187B9B0634"
388,"r920225","Cheval De Frise","ARVZGEJ1187FB446BA"
389,"r1776266","Darren Criss","ARSKQRP12AA0D8EAE6"
390,"r10297","Can","AR94EZ61187B990729"
391,"r106431","Adrianne","ARBMDD91187FB43ED9"
393,"r393719","Bob Marley & The Wailers","ARAZCWP129462A97F1"
394,"r88093","Jolie Holland","ARKG27B1187B99944A"
396,"r4457","Miles Davis","AR7RTGF1187FB38793"
397,"r85092","Arctic Monkeys","ARM0P6Z1187FB4D466"
399,"r1202317","Casey Dienel","AR0HF7P1187FB3A7B1"
400,"r619646","Kendrick Lamar","AREJQVO12C1DF51FFE"
402,"r187221","Wise Guys","ARF3W9S1187B9AE96F"
403,"r81220","Patty Griffin","AR6I54S1187FB48C6B"
405,"r84954","Enya","AREACYD1187FB566DE"
406,"r88993","Sepultura","ARHLT3W1187FB5711F"
408,"r402043","Aesthetic Perfection","ARRTT611187B99D82B"
409,"r89243","Tiny Tim","ARPBNLO1187FB3D52F"
410,"r121905","The Clash","AR13CXU1187B9AD30A"
411,"r23452","Erick Sermon","AROLNOH1187FB39845"
413,"r761264","Tame Impala","ARGWWVA11E2835DEF5"
414,"r32879","Oh No","ARXHFWE1187FB410A9"
416,"r271514","Mumford & Sons","ARJERLY11E2835D7DC"
417,"r215270","Golden Earring","AR7B7S81187FB37F20"
419,"r27280","Lisa Loeb","ARNJ4771187FB58301"
420,"r138882","Iron & Wine","AR4XX0N1187FB45C21"
422,"r4424","Saul Williams","ARIRBKB1187FB56CD0"
423,"r142702","Vince Guaraldi Trio","AROSPS51187B9B481F"
425,"r541577","A Death In The Family","ARQRL941187FB4CC2D"
426,"r1010997","Forever young","AR1VANR1187B9B9ADF"
428,"r50412","7 Seconds","ARQ0B8P1187FB4D58B"
429,"r85806","of Montreal","ARYMCJZ1187FB513DA"
431,"r8239","Elton John","ARTB3OO1187FB49BDA"
432,"r302867","The Psychedelic Furs","ARIMH3L1187B9B9178"
433,"r32967","Green Day","ARV3CRH1187B9A1B21"
490,"r88047","Mitch Hedberg",
491,"r470772","Fun People",
492,"r10963","Merle Haggard",
493,"r188975","Drake",
494,"r184084","Adam Lambert",
495,"r1666230","Psyche Origami",
496,"r87121","Fall Out Boy",
497,"r834002","Bikini Kill",
498,"r138628","Smash Mouth",
499,"r91152","Med",
500,"r139687","Nelly Furtado",
501,"r247030","MGMT",
502,"r86362","Streetlight Manifesto",
503,"r213354","Air",
504,"r167272","Mr. Bungle",
505,"r92577","Modest Mouse",
506,"r39849","Queen",
507,"r1162640","Konzertchor Cantins, Cerchel Musical Dalla Surselva",
508,"r354588","Duke Ellington & Coleman Hawkins",
509,"r189952","Supertramp",
510,"r19690","DJ Screw",
511,"r202242","Black Milk",
512,"r68017","Toby Keith",
513,"r224868","Les Fatals Picards",
514,"r23688","Black",
515,"r88487","Baka Beyond",
516,"r172116","Steve Hillage",
517,"r309953","The Nextmen",
518,"r86051","Joan Osborne",
519,"r86698","Brandy",
520,"r140654","Finger Eleven",
521,"r370674","Straw",
522,"r1347","John Vanderslice",
523,"r86902","The Notorious B.I.G.",
524,"r25366","Lionel Richie",
525,"r178264","Amp Fiddler",
526,"r98507","Alkaline Trio",
527,"r88555","Fruit Bats",
528,"r365388","Julian Austin",
529,"r86272","The Shins",
530,"r47581","DJ Shadow",
531,"r224747","Reba McEntire",
532,"r3974941","Wrooclyn Dodgers",
533,"r86128","Jaheim",
534,"r197039","Roxette",
535,"r56002","Aaron Hall",
536,"r28335","The Toasters",
537,"r86229","Dire Straits",
538,"r1009235","Frank Ocean",
539,"r16728","B.B. King",
540,"r89718","Fleet Foxes",
541,"r26145","Ray Stevens",
542,"r85923","Sonicflood",
543,"r56700","Neko Case",
544,"r7553","Glen Campbell",
545,"r167253","The White Stripes",
546,"r112418","Pat Benatar",
547,"r433812","Netsky",
548,"r85782","The Doors",
549,"r91283","Outkast",
550,"r2097","Art Tatum",
551,"r88740","Califone",
552,"r52486","Daryll-Ann",
553,"r294951","Ismael Serrano",
554,"r84941","Toro Y Moi",
555,"r260875","Vitamin String Quartet",
556,"r139464","Gus Gus",
557,"r273466","MC Solaar",
558,"r88885","Oakley Hall",
559,"r421281","Russian Red",
560,"r294620","Fiona Apple",
561,"r325189","Eagle-Eye Cherry",
562,"r139007","The Who",
563,"r1822841","Deltron 3030",
564,"r97386","Pereza",
565,"r214290","The Bird and the Bee",
566,"r25431","Ne-Yo",
567,"r178749","Cherry Poppin' Daddies",
568,"r61427","Warren G",
569,"r8899","The Cinematics",
570,"r84811","Madonna",
571,"r5332","Napalm Death",
572,"r71294","Robyn",
573,"r174048","John Renbourn",
574,"r141081","Bill Withers",
575,"r287098","Aerosmith",
576,"r20227","Kanye West",
577,"r94444","Art Blakey & The Jazz Messengers",
578,"r94686","Gentle Giant",
579,"r11325","Jan & Dean",
435,"r84808","The Flaming Lips","ARNVCB81187B9ACBDF"
436,"r154990","Will Johnson","ARVS8XD1187B9958E3"
438,"r348202","Know The Score","ARR4NPA1187B995887"
439,"r13096","James Taylor","ARSF0K11187B9AF319"
441,"r86012","Stevie Nicks","ARM96381187B98F770"
443,"r330153","Allison Iraheta","ARACFBH11FED0C4413"
444,"r36160","Tech N9ne","ARGXIE31187FB55B48"
445,"r172363","Calvin Richardson","ARXF8OC1187B9994C1"
447,"r1245","Kathryn Williams","ARCB10N1187B9AEB2F"
448,"r19013","50 Cent","AR23C041187FB4D534"
449,"r258997","Bobby V","ARXQQZZ125FEF32503"
451,"r69552","Stevie Wonder","ARUM60L1187B9A7E1F"
452,"r321889","Pablo Cruise","AR7341N1187FB5B394"
454,"r87275","Escape The Fate","AROSIKT1187B9A4D53"
455,"r26153","Jim Jones","ART62WC1187FB47E80"
456,"r57658","Bobby McFerrin","ARSK10P1187B9B717C"
458,"r776571","The Frogs","ARGJKFU1187B98E6E2"
459,"r85784","Deep Purple","ARXPE8V1187B99AEC9"
461,"r713535","Bad Meets Evil","AR26WWP1187FB5491C"
462,"r550199","I Am Arrows","ARNALPD129F1DDFC4A"
464,"r84913","Cobra Starship","AR1T5VW1187B9B9586"
465,"r91336","Maroon 5","ARF5M7Q1187FB501E8"
467,"r83988","Young MC","ARCC6F01187B9B0C19"
468,"r31451","Le Tigre","ARZPYZ11187FB4938A"
469,"r20354","Bill Evans","ARTLL9E1187FB4436F"
471,"r347512","Propagandhi","AR1SVJX1187FB3A7D9"
472,"r175738","ABBA","ART50HO1187FB4D0ED"
473,"r87324","Aimee Mann","ARR5XTD1187FB3C6BE"
475,"r3717","Bob Marley","ARAZCWP129462A97F1"
476,"r566858","Edie Sedgwick","ARUIO421187B9A2666"
478,"r138899","Vampire Weekend","AR2ZPMX1187FB4E4B6"
479,"r1170104","Josh Woodward","AR13MLG1187B9AF9B2"
480,"r252819","Owl City","AR0WLH6119B8669027"
482,"r93769","Wolfmother","ARDF8K01187FB37200"
483,"r89940","Foals","ARVXV1J1187FB5BF88"
485,"r30690","Phil Collins","AR9W3X91187FB3994C"
486,"r190508","Daft Punk","ARF8HTQ1187B9AE693"
488,"r168074","Ladytron","ARFBTGU1187B9B8395"
489,"r26194","Masta Killa","ARU4FPZ1187B9B78F9"
580,"r86942","Old 97's",
581,"r23798","Living Legends",
582,"r19015","Young Buck",
583,"r772543","Belle and Sebastian",
584,"r1757199","DJ Muggs Vs. Ill Bill",
585,"r96","RZA",
586,"r39730","Muse",
587,"r115855","Mark Eitzel",
588,"r3579","Rjd2",
589,"r183091","Mya",
590,"r649670","Natalie Gardiner",
591,"r20363","The Pharcyde",
592,"r5224","Shit And Shine",
593,"r89020","Jennifer Love Hewitt",
594,"r232323","Beastie Boys",
595,"r210485","Sir Elwoodin Hiljaiset Varit",
596,"r184822","The Summer Set",
597,"r239074","PJ Harvey",
598,"r87605","The Velvet Underground",
599,"r3026367","Ciara",
600,"r232671","Pink Floyd",
601,"r262639","Syntax",
602,"r224341","Alexisonfire",
603,"r37824","The Band",
604,"r170709","Fort Knox Five",
605,"r85862","Bush",
606,"r322721","Dishwalla",
607,"r193753","Lauryn Hill",
608,"r85816","Reel Big Fish",
609,"r32665","Busta Rhymes",
610,"r6134","GZA",
611,"r86647","Warren Zevon",
612,"r32610","Avant",
613,"r6222","The Residents",
614,"r99235","Bonnie Tyler",
615,"r87682","Mayday Parade",
616,"r271","Porcupine Tree",
617,"r122289","Liquid Soul",
618,"r115911","Virgil Shaw",
619,"r326771","Peter Bjorn And John",
620,"r368030","Marc Ullrich",
621,"r6452","Cal Tjader",
622,"r250267","The Police",
623,"r86360","Give Up The Ghost",
624,"r129088","Cake",
625,"r431201","Tobacco",
626,"r50708","Slaughterhouse",
627,"r99292","Taylor Swift",
628,"r8673","Don Diablo",
629,"r101764","Leona Naess",
630,"r399816","Amethystium",
631,"r888559","The Funk Ark",
632,"r139375","Burial",
633,"r43801","The Beautiful Girls",
634,"r57040","DJ Revolution",
635,"r224234","Limp Bizkit",
636,"r85601","Tilly And The Wall",
637,"r2829969","Liquid Soul",
638,"r19780","Less Than Jake",
639,"r87529","The Postal Service",
640,"r91339","Soul Coughing",
641,"r140180","Cauterize",
642,"r85767","Randy Travis",
643,"r95626","Poe",
644,"r326909","Tenacious D",
645,"r115948","The Mountain Goats",
646,"r31054","Sinead O'Connor",
647,"r184130","Justin Bieber",
648,"r9389","Brainticket",
649,"r2120191","Angie Mattson",
650,"r138874","Dave Matthews Band",
651,"r86654","Morcheeba",
652,"r432818","The Left",
653,"r85912","Rain Machine",
654,"r184015","John Mayer",
655,"r4981062","Jay-Z",
656,"r94451","Wild Cherry",
657,"r372365","Jaga Jazzist",
658,"r276866","Jamie Lidell",
659,"r87497","Michael Gordon",
660,"r30643","Paul Simon",
661,"r489908","Fugazi",
662,"r211346","Jennifer Rush",
663,"r141120","Yeah Yeah Yeahs",
664,"r432928","Milk",
665,"r212607","Sade",
666,"r46088","Coldplay",
667,"r1531043","Snoop Dogg",
668,"r139688","Weezer",
669,"r192492","Frank Zappa",
670,"r298798","Jannick Top",
671,"r775560","Squirrel Nut Zippers",
672,"r38842","Black Uhuru",
673,"r25450","T-Pain",
674,"r396228","Edward Sharpe & The Magnetic Zeros",
675,"r90056","Band Of Horses",
676,"r214702","Kiss",
677,"r477561","Kent",
678,"r65899","Alias",
679,"r139040","Lamb",
680,"r485690","People Under The Stairs",
681,"r1247173","Thundercat",
682,"r111545","The Crystal Method",
683,"r329560","Kristy Lee Cook",
684,"r37989","Keyshia Cole",
685,"r400993","The Microphones",
686,"r99379","Brandon Flowers",
687,"r17562","No-Man",
688,"r87612","Univers Zero",
689,"r23394","Magma",
690,"r304448","The Band Perry",
691,"r373098","cLOUDDEAD",
692,"r45848","Daedelus",
693,"r28874","Jeff Beck",
694,"r60469","Bone Thugs-N-Harmony",
695,"r778173","Angus Martin",
696,"r2694520","Maudlin of the Well",
697,"r297955","Alien Ant Farm",
698,"r2385713","Natural Born Easy",
699,"r89367","Gnarls Barkley",
700,"r40320","Caravan",
701,"r4150","Harry Chapin",
702,"r3226094","The Dead Rocks",
703,"r84976","The Cure",
704,"r165947","Metric",
705,"r408680","Mother Mother",
706,"r153762","ThrowBack",
707,"r302230","Black Star",
708,"r93688","Britney Spears",
709,"r467848","Steve Spacek",
710,"r217501","Sierra",
711,"r57649","Mary J. Blige",
712,"r105076","Lightning",
713,"r78020","J Dilla",
714,"r141718","Hanson",
715,"r144361","J.J. Cale",
716,"r88801","The Felice Brothers",
717,"r84946","Devendra Banhart",
718,"r520821","Alli With An I",
719,"r5849","Blondie",
720,"r1727","The Drifters",
721,"r478031","Ultramagnetic MC's",
722,"r85847","Before Their Eyes",
723,"r138931","The Cramps",
724,"r24268","Bob Dylan",
725,"r184837","Eliza Doolittle",
726,"r85976","Tracy Chapman",
727,"r434680","Daughters",
728,"r313675","Salt-N-Pepa",
729,"r257064","Patrick Simmons",
730,"r86035","The Streets",
731,"r86095","A Skylit Drive",
732,"r3614","Redemption",
733,"r1163076","Pacific Blue",
734,"r85470","Red Hot Chili Peppers",
735,"r189375","TobyMac",
736,"r33912","Anne Clark",
737,"r87029","Megadeth",
738,"r78006","Erykah Badu",
739,"r85103","Talking Heads",
740,"r87491","CSS",
741,"r286790","PSK-13",
742,"r880615","Pretty Lights",
743,"r18715","Helloween",
744,"r67394","A Tribe Called Quest",
745,"r87336","Das EFX",
746,"r821737","Marnie Stern",
747,"r8699","Foghat",
748,"r57636","Michael Jackson",
749,"r167964","Carlinhos Felix",
750,"r39052","DMX",
751,"r26138","Pixies",
752,"r2917","In Flames",
753,"r9216","Sadat X",
754,"r227416","Levon Helm",
755,"r92621","Ice Cube",
756,"r34563","Ratt",
757,"r91236","The Killers",
758,"r314921","Curren$y",
759,"r88120","Damien Rice",
760,"r55301","Rufus Wainwright",
761,"r72673","Buraka Som Sistema",
762,"r84959","Atmosphere",
763,"r85689","Violent Femmes",
764,"r71312","Asha Ali",
765,"r329137","Crash Test Dummies",
766,"r330529","Fighting Gravity",
767,"r130511","Trees",
768,"r93229","Buck 65",
769,"r86741","The Offspring",
770,"r45944","Jack Johnson",
771,"r37482","Warrant",
772,"r216861","Vicente Amigo",
773,"r30868","Barbra Streisand",
774,"r104763","Chris Rock",
775,"r323349","32 Leaves",
776,"r415176","Boards Of Canada",
777,"r93934","The Slits",
778,"r19439","Nas",
779,"r40540","Xzibit",
780,"r405985","Salmonella Dub",
781,"r834098","The Lies",
782,"r626363","Shapeshifter",
783,"r78635","Janis Ian",
784,"r27322","Flying Lotus",
785,"r88665","Glenn Jones",
786,"r296455","Hollywood Undead",
787,"r24337","Sly & The Family Stone",
788,"r138949","Travis",
789,"r86872","Carly Simon",
790,"r335152","Tom McRae",
791,"r93173","Nick Drake",
792,"r189666","Ellis",
793,"r195129","Hank Mobley",
794,"r60175","Bruce Springsteen",
795,"r24321","9th Prince",
796,"r328264","Jo Dee Messina",
797,"r298818","Sylvie Vartan",
798,"r4099","Okkervil River",
799,"r266595","Mariana Aydar",
800,"r164724","Jerry Reed",
801,"r141220","Turbonegro",
802,"r766230","Moon Safari",
803,"r433601","tUnE-yArDs",
804,"r89942","XBXRX",
805,"r691796","Shoplifting",
806,"r1154902","PyhäkouluOrkesteri",
807,"r2372","Fleetwood Mac",
808,"r295193","Corey Smith",
809,"r146798","Lil Rob",
810,"r372028","Alela Diane",
811,"r360733","Blue Rodeo",
812,"r24848","R. Kelly",
813,"r90132","VAST",
814,"r854785","A Wilhelm Scream",
815,"r28156","Cradle Of Filth",
816,"r140247","Bran Van 3000",
817,"r540187","Kelli Ali",
818,"r65750","Dropkick Murphys",
819,"r146907","LMFAO",
820,"r153509","Kid Cudi",
821,"r569341","Pill",
822,"r101857","The Fireflies",
823,"r138978","Pearl Jam",
824,"r130375","Antibalas",
825,"r1773444","J. Cole",
826,"r239355","Grits",
827,"r439415","Danny Norbury",
828,"r140398","Eels",
829,"r16417","The Ventures",
830,"r155860","The Impossibles",
831,"r87609","Elvis Costello",
832,"r143362","Elliott Smith",
833,"r1512999","Girl Talk",
834,"r295086","Chrisette Michele",
835,"r99211","Udo Jürgens",
836,"r844319","Rex Lawson, pianola",
837,"r258828","Bon Jovi",
838,"r361163","Kellermensch",
839,"r145190","Chester French",
840,"r31563","Gaelle",
841,"r51516","Q-Tip",
842,"r2310","Journey",
843,"r141354","Jane Siberry",
844,"r141500","Justin Timberlake",
845,"r30041","Digable Planets",
846,"r28873","Eric Clapton",
847,"r139412","Jimmy Buffett",
848,"r300458","Rahzel",
849,"r15581","Blackfield",
850,"r141351","The Jesus And Mary Chain",
851,"r143407","Back Ted N-Ted",
852,"r2099153","Treelines",
853,"r86029","Eric Benét",
854,"r140602","Nellie McKay",
855,"r139977","Amy Winehouse",
856,"r19793","Tom Waits",
857,"r2273","Pulp",
858,"r55684","Akinyele",
859,"r7584","Hall & Oates",
860,"r144327","Bound Stems",
861,"r138765","Santigold",
862,"r433436","The Black Seeds",
863,"r4066678","Pete Rock & Smif-N-Wessun",
864,"r224754","Thirty Seconds To Mars",
865,"r403240","Dosh",
866,"r141287","Grizzly Bear",
867,"r720592","Kliment",
868,"r1524205","Yargos",
869,"r60710","D'Angelo",
870,"r348156","Sunn O)))",
871,"r143358","Uncle Tupelo",
872,"r210412","Freddie Wadling",
873,"r86739","Wiz Khalifa",
874,"r277984","Jon McLaughlin",
875,"r87649","Nine",
876,"r86197","All Time Low",
877,"r90042","The Raconteurs",
878,"r466","Billie Holiday",
879,"r858766","Icona Pop",
880,"r20913","Talib Kweli",
881,"r96664","Incubus",
882,"r585961","Regurgitator",
883,"r2157126","Atoms For Peace",
884,"r82196","Green Carnation",
885,"r138872","The Rolling Stones",
886,"r761074","Amps For Christ",
887,"r30587","Compay Segundo",
888,"r775140","Q and Not U",
889,"r35027","Public Enemy",
890,"r80012","The Books",
891,"r141962","Kid Loco",
892,"r786522","Circulation",
893,"r84855","Phish",
894,"r3447205","Hillsong United",
895,"r87451","Civet",
896,"r262388","Sparta",
897,"r320004","Nerina Pallot",
898,"r435997","We Were Promised Jetpacks",
899,"r387729","Salt",
900,"r86551","Rancid",
901,"r188837","Alison Moyet",
902,"r1896477","Mellow Candle",
903,"r65514","The Pogues",
904,"r84832","Ricardo Arjona",
905,"r3569537","Antony and the Johnsons",
906,"r547857","People Like Us",
907,"r87225","Peabo Bryson",
908,"r86650","Depeche Mode",
909,"r86270","Ramones",
910,"r17570","Wu-Tang Clan",
911,"r104490","Grace Jones",
912,"r91322","Jonas Brothers",
913,"r140404","Interpol",
914,"r307773","Erin McKeown",
915,"r86241","Hans Zimmer",
916,"r138889","Sigur Rós",
917,"r185682","Maxwell",
918,"r20209","Three 6 Mafia",
919,"r92438","The Go! Team",
920,"r132946","Tom Lehrer",
921,"r23121","Love",
922,"r84967","Kyuss",
923,"r170683","Andrew Bird",
924,"r212802","Manafest",
925,"r962527","Random Axe",
926,"r233566","Alexz Johnson",
927,"r66634","Luther Vandross",
928,"r176439","Gerard Lesne",
929,"r89476","Sufjan Stevens",
930,"r213810","Daughtry",
931,"r124543","Eagles",
932,"r222500","O.G.C.",
933,"r294953","Counting Crows",
934,"r138768","The Black Crowes",
935,"r294652","Dave Hollister",
936,"r140429","The Kooks",
937,"r24472","Vast Aire",
938,"r430940","Charlottefield",
939,"r84841","Jason Mraz",
940,"r89598","Daniel Johnston",
941,"r70121","David Bowie",
942,"r266554","Hadouken!",
943,"r24855","Robin Thicke",
944,"r71073","Gravediggaz",
945,"r155942","Jethro Tull",
946,"r93238","August Burns Red",
947,"r276934","Sum 41",
948,"r84886","The Distillers",
949,"r64133","Tinie Tempah",
950,"r116141","Late Night Alumni",
951,"r68403","Dr. Dre",
952,"r80415","Anna Oxygen",
953,"r298170","Wang Chung",
954,"r90216","The Smiths",
955,"r7472","Aaron Neville",
956,"r57613","Black Rob",
957,"r44778","Donald Byrd",
958,"r8223","The Meters",
959,"r1300","Sarah Vaughan",
960,"r224537","Garbage",
961,"r155210","Black Kids",
962,"r38431","Grand National",
963,"r139575","Dashboard Confessional",
964,"r86228","The Aluminum Group",
965,"r13013","Ambulance LTD",
966,"r84837","Natalie Merchant",
967,"r1129851","!!!",
968,"r34707","JOELL ORTIZ",
969,"r69138","Swollen Members",
970,"r85569","Smif-n-Wessun",
971,"r74824","Nitin Sawhney",
972,"r271773","Lee Ann Womack",
973,"r34814","Faust",
974,"r248612","Great Big Sea",
975,"r85715","Nappy Roots",
976,"r1873765","THEESatisfaction",
977,"r55048","Ani DiFranco",
978,"r38503","Klaus Schulze",
979,"r94413","Captain Sensible",
980,"r5056","Santana",
981,"r89297","Metallica",
982,"r126973","Sarah McLachlan",
983,"r718819","Ford & Fitzroy",
984,"r91327","M.I.A.",
985,"r140","Heaven Shall Burn",
986,"r183819","Babyface",
987,"r144357","Ume",
988,"r91342","The Rentals",
989,"r5466","Vanilla Fudge",
990,"r63735","Mariah Carey",
991,"r137227","Parliament",
992,"r28273","Kool Keith",
993,"r178304","As I Lay Dying",
994,"r164505","Reckless Kelly",
995,"r41148","Ney Matogrosso",
996,"r5086","Wes Montgomery",
997,"r1469","The Dirtbombs",
998,"r253489","Boyz II Men",
